treatment,rep,gene,count
no_drug,1,geneA,8
no_drug,1,geneB,289
no_drug,1,geneC,378
no_drug,1,geneD,77
no_drug,2,geneA,2
no_drug,2,geneB,276
no_drug,2,geneC,391
no_drug,2,geneD,68
no_drug,3,geneA,3
no_drug,3,geneB,279
no_drug,3,geneC,379
no_drug,3,geneD,80
low,1,geneA,5
low,1,geneB,49
low,1,geneC,123
low,1,geneD,393
low,2,geneA,7
low,2,geneB,70
low,2,geneC,114
low,2,geneD,390
low,3,geneA,2
low,3,geneB,67
low,3,geneC,119
low,3,geneD,402
med,1,geneA,8
med,1,geneB,4
med,1,geneC,123
med,1,geneD,393
med,2,geneA,12
med,2,geneB,1
med,2,geneC,114
med,2,geneD,390
med,3,geneA,11
med,3,geneB,0
med,3,geneC,119
med,3,geneD,402
high,1,geneA,104
high,1,geneB,2
high,1,geneC,123
high,1,geneD,393
high,2,geneA,114
high,2,geneB,0
high,2,geneC,114
high,2,geneD,390
high,3,geneA,98
high,3,geneB,7
high,3,geneC,119
high,3,geneD,402
