liver,spleen,brain,gut
27.5976,214.2803,75.23929,225.1768
60.33832,179.3014,81.72054,226.741
52.49291,194.4298,83.69679,236.5928
43.97415,224.2497,94.74267,226.0511
44.74299,182.4813,79.97814,193.7363
46.80051,164.4545,66.14731,213.0908
57.2667,180.0573,74.71054,228.9995
40.32988,188.8481,77.43103,191.5679
42.04992,159.9856,92.43635,240.1764
44.00912,206.0348,70.48178,235.4905
64.33314,193.9145,86.39835,238.3665
39.44772,191.9697,77.6825,193.4668
57.71404,184.6802,77.7311,223.1481
43.93393,187.178,68.85674,193.3823
50.92104,204.9486,67.51616,230.407
34.56913,168.3075,77.85345,243.0933
60.2393,187.5678,77.24798,226.5015
57.48913,186.242,80.71835,213.3522
57.00217,214.3572,77.52242,206.5901
38.98076,186.7654,81.48257,251.4461
24.57693,206.4165,59.86458,195.4432
24.25143,181.851,76.37634,214.1004
49.82213,218.6482,90.4643,218.2928
63.73709,192.8911,56.85359,226.9756
44.24808,187.7016,78.01161,213.8222
53.96751,197.723,59.8329,252.2425
19.95899,181.8993,83.37415,218.7493
55.08144,183.3051,84.61831,222.3612
51.87666,186.4721,85.0468,240.1575
60.23574,178.8564,87.79772,195.787
39.90169,180.3383,85.18267,203.6504
35.47261,194.0851,72.03708,229.4225
54.99283,172.9448,79.80622,209.4448
63.6575,177.7187,68.73245,203.0709
30.30851,185.851,79.94401,224.0055
61.14305,188.7556,66.39388,201.6103
47.5514,186.5355,79.80951,226.1602
48.27246,183.206,71.51101,190.2466
29.95218,183.0188,81.5221,219.2949
54.97426,191.2049,86.04669,226.0033
49.62802,223.0301,76.79571,218.914
52.83034,206.7048,68.47327,209.2129
43.26365,169.3342,83.55389,229.6437
61.21403,191.1915,78.42484,229.8219
49.14935,174.5411,82.9378,198.108
61.04798,207.0149,69.54806,207.6978
43.72779,172.396,84.73949,246.1945
46.49973,202.2509,91.82253,224.7233
60.82857,198.6007,71.74465,233.0319
62.47311,158.713,71.08368,223.772
42.0377,196.4364,76.82331,215.2023
53.01829,198.0637,70.62688,221.0895
29.0279,186.7906,79.79926,207.613
52.93397,212.9987,66.85083,192.6158
28.61633,178.6415,67.41708,228.9574
41.99199,209.3371,74.33877,196.4809
75.1678,164.5818,90.40756,224.0711
47.50252,184.4728,90.34244,211.7586
35.11473,191.7469,78.1915,201.6998
58.96003,165.2712,79.51098,212.0842
43.77573,188.1251,73.47571,204.9974
44.87697,196.7158,87.20236,226.3629
36.10917,196.1078,69.39116,243.5124
45.57986,196.6506,94.84853,228.8069
57.1937,199.8134,80.40667,240.0142
56.57073,200.4174,92.06759,236.7033
49.81153,199.2365,95.53845,208.0084
53.31227,187.1845,73.35865,239.5773
60.38943,185.6383,92.00317,204.7282
50.82291,192.275,82.36578,207.3946
55.97932,191.8647,76.58089,198.4776
43.49176,175.9032,77.6495,221.4688
49.54842,172.4069,80.81629,224.9587
42.75186,200.9228,88.45132,214.1359
39.52922,169.672,76.28067,219.126
68.19497,179.2984,86.50185,223.3298
60.54803,161.4149,99.085,228.8058
60.35276,171.5748,81.86019,227.6195
42.44489,191.1324,81.13265,217.3767
64.54701,194.0592,68.62199,224.1364
42.51157,169.8516,70.84775,208.2373
44.65681,175.2531,62.49036,205.7018
51.05289,177.2804,83.05249,235.4929
33.15754,194.3425,78.26794,241.4534
55.29798,186.8323,78.18837,240.4586
45.27597,206.207,77.20333,227.083
50.89579,193.3658,77.53168,225.4471
48.40061,200.4808,79.69298,226.7346
61.63157,190.2056,82.1507,204.9777
40.00828,195.314,76.11964,213.6897
58.14005,178.0916,78.87169,229.6328
67.789,172.5181,76.95875,219.8562
66.49434,149.8572,66.91052,251.2799
54.27748,189.2176,76.58975,233.5672
42.35905,180.7328,75.81646,201.0032
71.07693,200.4033,63.47154,227.6286
28.66255,165.5764,72.54304,215.8777
42.06009,182.8121,82.18116,206.9782
49.36875,159.3183,90.4297,223.1931
46.32208,183.6375,68.02057,228.542
